Schooljaar;Niveau regio;Regio;Soort hoger onderwijs;Opleidingssector;Aantal
2022/2023;Gemeente;Medemblik;WO;Gedrag en maatschappij;70.00
2022/2023;Gemeente;Medemblik;WO;Gezondheidszorg;41.00
2022/2023;Gemeente;Medemblik;WO;Landbouw en natuurlijke omgeving;8.00
2022/2023;Gemeente;Medemblik;WO;Natuur;43.00
2022/2023;Gemeente;Medemblik;WO;Onderwijs;1.00
2022/2023;Gemeente;Medemblik;WO;Recht;36.00
2022/2023;Gemeente;Medemblik;WO;Sectoroverstijgend;3.00
2022/2023;Gemeente;Medemblik;WO;Taal en cultuur;28.00
2022/2023;Gemeente;Medemblik;WO;Techniek;13.00
2022/2023;Gemeente;Medemblik;WO;Totaal energietransitie;56.00
2022/2023;Gemeente;Opmeer;Totaal;Totaal;334.00
2022/2023;Gemeente;Opmeer;Totaal;Economie;93.00
2022/2023;Gemeente;Opmeer;Totaal;Gedrag en maatschappij;47.00
2022/2023;Gemeente;Opmeer;Totaal;Gezondheidszorg;47.00
2022/2023;Gemeente;Opmeer;Totaal;Landbouw en natuurlijke omgeving;20.00
2022/2023;Gemeente;Opmeer;Totaal;Natuur;10.00
2022/2023;Gemeente;Opmeer;Totaal;Onderwijs;24.00
2022/2023;Gemeente;Opmeer;Totaal;Recht;13.00
2022/2023;Gemeente;Opmeer;Totaal;Sectoroverstijgend;3.00
2022/2023;Gemeente;Opmeer;Totaal;Taal en cultuur;8.00
2022/2023;Gemeente;Opmeer;Totaal;Techniek;69.00
2022/2023;Gemeente;Opmeer;Totaal;Totaal energietransitie;79.00
2022/2023;Gemeente;Opmeer;HBO;Totaal;264.00
2022/2023;Gemeente;Opmeer;HBO;Economie;86.00
2022/2023;Gemeente;Opmeer;HBO;Gedrag en maatschappij;33.00
2022/2023;Gemeente;Opmeer;HBO;Gezondheidszorg;37.00
2022/2023;Gemeente;Opmeer;HBO;Landbouw en natuurlijke omgeving;17.00
2022/2023;Gemeente;Opmeer;HBO;Onderwijs;24.00
2022/2023;Gemeente;Opmeer;HBO;Sectoroverstijgend;2.00
2022/2023;Gemeente;Opmeer;HBO;Taal en cultuur;2.00
2022/2023;Gemeente;Opmeer;HBO;Techniek;63.00
2022/2023;Gemeente;Opmeer;HBO;Totaal energietransitie;63.00
2022/2023;Gemeente;Opmeer;WO;Totaal;70.00
2022/2023;Gemeente;Opmeer;WO;Economie;7.00
2022/2023;Gemeente;Opmeer;WO;Gedrag en maatschappij;14.00
2022/2023;Gemeente;Opmeer;WO;Gezondheidszorg;10.00
2022/2023;Gemeente;Opmeer;WO;Landbouw en natuurlijke omgeving;3.00
2022/2023;Gemeente;Opmeer;WO;Natuur;10.00
2022/2023;Gemeente;Opmeer;WO;Recht;13.00
2022/2023;Gemeente;Opmeer;WO;Sectoroverstijgend;1.00
2022/2023;Gemeente;Opmeer;WO;Taal en cultuur;6.00
2022/2023;Gemeente;Opmeer;WO;Techniek;6.00
2022/2023;Gemeente;Opmeer;WO;Totaal energietransitie;16.00
2022/2023;Gemeente;Schagen;Totaal;Totaal;1272.00
2022/2023;Gemeente;Schagen;Totaal;Economie;337.00
2022/2023;Gemeente;Schagen;Totaal;Gedrag en maatschappij;176.00
2022/2023;Gemeente;Schagen;Totaal;Gezondheidszorg;163.00
2022/2023;Gemeente;Schagen;Totaal;Landbouw en natuurlijke omgeving;54.00
2022/2023;Gemeente;Schagen;Totaal;Natuur;45.00
2022/2023;Gemeente;Schagen;Totaal;Onderwijs;164.00
2022/2023;Gemeente;Schagen;Totaal;Recht;39.00
2022/2023;Gemeente;Schagen;Totaal;Sectoroverstijgend;6.00
2022/2023;Gemeente;Schagen;Totaal;Taal en cultuur;50.00
2022/2023;Gemeente;Schagen;Totaal;Techniek;238.00
2022/2023;Gemeente;Schagen;Totaal;Totaal energietransitie;283.00
2022/2023;Gemeente;Schagen;HBO;Totaal;970.00
2022/2023;Gemeente;Schagen;HBO;Economie;293.00
2022/2023;Gemeente;Schagen;HBO;Gedrag en maatschappij;113.00
2022/2023;Gemeente;Schagen;HBO;Gezondheidszorg;126.00
2022/2023;Gemeente;Schagen;HBO;Landbouw en natuurlijke omgeving;43.00
2022/2023;Gemeente;Schagen;HBO;Onderwijs;160.00
2022/2023;Gemeente;Schagen;HBO;Sectoroverstijgend;1.00
2022/2023;Gemeente;Schagen;HBO;Taal en cultuur;9.00
2022/2023;Gemeente;Schagen;HBO;Techniek;225.00
2022/2023;Gemeente;Schagen;HBO;Totaal energietransitie;225.00
2022/2023;Gemeente;Schagen;WO;Totaal;302.00
2022/2023;Gemeente;Schagen;WO;Economie;44.00
2022/2023;Gemeente;Schagen;WO;Gedrag en maatschappij;63.00
2022/2023;Gemeente;Schagen;WO;Gezondheidszorg;37.00
2022/2023;Gemeente;Schagen;WO;Landbouw en natuurlijke omgeving;11.00
2022/2023;Gemeente;Schagen;WO;Natuur;45.00
2022/2023;Gemeente;Schagen;WO;Onderwijs;4.00
2022/2023;Gemeente;Schagen;WO;Recht;39.00
2022/2023;Gemeente;Schagen;WO;Sectoroverstijgend;5.00
2022/2023;Gemeente;Schagen;WO;Taal en cultuur;41.00
2022/2023;Gemeente;Schagen;WO;Techniek;13.00
2022/2023;Gemeente;Schagen;WO;Totaal energietransitie;58.00
2022/2023;Gemeente;Stede Broec;Totaal;Totaal;623.00
2022/2023;Gemeente;Stede Broec;Totaal;Economie;171.00
2022/2023;Gemeente;Stede Broec;Totaal;Gedrag en maatschappij;95.00
2022/2023;Gemeente;Stede Broec;Totaal;Gezondheidszorg;84.00
2022/2023;Gemeente;Stede Broec;Totaal;Landbouw en natuurlijke omgeving;19.00
2022/2023;Gemeente;Stede Broec;Totaal;Natuur;32.00
2022/2023;Gemeente;Stede Broec;Totaal;Onderwijs;88.00
2022/2023;Gemeente;Stede Broec;Totaal;Recht;20.00
2022/2023;Gemeente;Stede Broec;Totaal;Sectoroverstijgend;3.00
2022/2023;Gemeente;Stede Broec;Totaal;Taal en cultuur;23.00
2022/2023;Gemeente;Stede Broec;Totaal;Techniek;88.00
2022/2023;Gemeente;Stede Broec;Totaal;Totaal energietransitie;120.00
2022/2023;Gemeente;Stede Broec;HBO;Totaal;482.00
2022/2023;Gemeente;Stede Broec;HBO;Economie;162.00
2022/2023;Gemeente;Stede Broec;HBO;Gedrag en maatschappij;64.00
2022/2023;Gemeente;Stede Broec;HBO;Gezondheidszorg;63.00
2022/2023;Gemeente;Stede Broec;HBO;Landbouw en natuurlijke omgeving;15.00
2022/2023;Gemeente;Stede Broec;HBO;Onderwijs;87.00
2022/2023;Gemeente;Stede Broec;HBO;Taal en cultuur;5.00
2022/2023;Gemeente;Stede Broec;HBO;Techniek;86.00
2022/2023;Gemeente;Stede Broec;HBO;Totaal energietransitie;86.00
2022/2023;Gemeente;Stede Broec;WO;Totaal;141.00
2022/2023;Gemeente;Stede Broec;WO;Economie;9.00
2022/2023;Gemeente;Stede Broec;WO;Gedrag en maatschappij;31.00
2022/2023;Gemeente;Stede Broec;WO;Gezondheidszorg;21.00
2022/2023;Gemeente;Stede Broec;WO;Landbouw en natuurlijke omgeving;4.00
2022/2023;Gemeente;Stede Broec;WO;Natuur;32.00
2022/2023;Gemeente;Stede Broec;WO;Onderwijs;1.00
2022/2023;Gemeente;Stede Broec;WO;Recht;20.00
2022/2023;Gemeente;Stede Broec;WO;Sectoroverstijgend;3.00
2022/2023;Gemeente;Stede Broec;WO;Taal en cultuur;18.00
2022/2023;Gemeente;Stede Broec;WO;Techniek;2.00
2022/2023;Gemeente;Stede Broec;WO;Totaal energietransitie;34.00
2022/2023;Gemeente;Texel;Totaal;Totaal;259.00
2022/2023;Gemeente;Texel;Totaal;Economie;78.00
2022/2023;Gemeente;Texel;Totaal;Gedrag en maatschappij;34.00
2022/2023;Gemeente;Texel;Totaal;Gezondheidszorg;33.00
2022/2023;Gemeente;Texel;Totaal;Landbouw en natuurlijke omgeving;15.00
2022/2023;Gemeente;Texel;Totaal;Natuur;17.00
2022/2023;Gemeente;Texel;Totaal;Onderwijs;28.00
2022/2023;Gemeente;Texel;Totaal;Recht;8.00
2022/2023;Gemeente;Texel;Totaal;Sectoroverstijgend;5.00
2022/2023;Gemeente;Texel;Totaal;Taal en cultuur;17.00
2022/2023;Gemeente;Texel;Totaal;Techniek;24.00
2022/2023;Gemeente;Texel;Totaal;Totaal energietransitie;41.00
2022/2023;Gemeente;Texel;HBO;Totaal;178.00
2022/2023;Gemeente;Texel;HBO;Economie;71.00
2022/2023;Gemeente;Texel;HBO;Gedrag en maatschappij;20.00
2022/2023;Gemeente;Texel;HBO;Gezondheidszorg;25.00
2022/2023;Gemeente;Texel;HBO;Landbouw en natuurlijke omgeving;9.00
2022/2023;Gemeente;Texel;HBO;Onderwijs;28.00
2022/2023;Gemeente;Texel;HBO;Taal en cultuur;6.00
2022/2023;Gemeente;Texel;HBO;Techniek;19.00
2022/2023;Gemeente;Texel;HBO;Totaal energietransitie;19.00
2022/2023;Gemeente;Texel;WO;Totaal;81.00
2022/2023;Gemeente;Texel;WO;Economie;7.00
2022/2023;Gemeente;Texel;WO;Gedrag en maatschappij;14.00
2022/2023;Gemeente;Texel;WO;Gezondheidszorg;8.00
2022/2023;Gemeente;Texel;WO;Landbouw en natuurlijke omgeving;6.00
2022/2023;Gemeente;Texel;WO;Natuur;17.00
2022/2023;Gemeente;Texel;WO;Recht;8.00
2022/2023;Gemeente;Texel;WO;Sectoroverstijgend;5.00
2022/2023;Gemeente;Texel;WO;Taal en cultuur;11.00
2022/2023;Gemeente;Texel;WO;Techniek;5.00
2022/2023;Gemeente;Texel;WO;Totaal energietransitie;22.00
