Schooljaar;Niveau regio;Regio;Soort hoger onderwijs;Opleidingssector;Aantal
2022/2023;Gemeente;Castricum;Totaal;Techniek;254.00
2022/2023;Gemeente;Castricum;Totaal;Totaal energietransitie;341.00
2022/2023;Gemeente;Castricum;HBO;Totaal;933.00
2022/2023;Gemeente;Castricum;HBO;Economie;308.00
2022/2023;Gemeente;Castricum;HBO;Gedrag en maatschappij;94.00
2022/2023;Gemeente;Castricum;HBO;Gezondheidszorg;137.00
2022/2023;Gemeente;Castricum;HBO;Landbouw en natuurlijke omgeving;20.00
2022/2023;Gemeente;Castricum;HBO;Onderwijs;141.00
2022/2023;Gemeente;Castricum;HBO;Sectoroverstijgend;3.00
2022/2023;Gemeente;Castricum;HBO;Taal en cultuur;13.00
2022/2023;Gemeente;Castricum;HBO;Techniek;217.00
2022/2023;Gemeente;Castricum;HBO;Totaal energietransitie;217.00
2022/2023;Gemeente;Castricum;WO;Totaal;440.00
2022/2023;Gemeente;Castricum;WO;Economie;57.00
2022/2023;Gemeente;Castricum;WO;Gedrag en maatschappij;90.00
2022/2023;Gemeente;Castricum;WO;Gezondheidszorg;69.00
2022/2023;Gemeente;Castricum;WO;Landbouw en natuurlijke omgeving;3.00
2022/2023;Gemeente;Castricum;WO;Natuur;87.00
2022/2023;Gemeente;Castricum;WO;Onderwijs;2.00
2022/2023;Gemeente;Castricum;WO;Recht;49.00
2022/2023;Gemeente;Castricum;WO;Sectoroverstijgend;10.00
2022/2023;Gemeente;Castricum;WO;Taal en cultuur;36.00
2022/2023;Gemeente;Castricum;WO;Techniek;37.00
2022/2023;Gemeente;Castricum;WO;Totaal energietransitie;124.00
2022/2023;Gemeente;Den Helder;Totaal;Totaal;1095.00
2022/2023;Gemeente;Den Helder;Totaal;Economie;304.00
2022/2023;Gemeente;Den Helder;Totaal;Gedrag en maatschappij;166.00
2022/2023;Gemeente;Den Helder;Totaal;Gezondheidszorg;134.00
2022/2023;Gemeente;Den Helder;Totaal;Landbouw en natuurlijke omgeving;14.00
2022/2023;Gemeente;Den Helder;Totaal;Natuur;41.00
2022/2023;Gemeente;Den Helder;Totaal;Onderwijs;171.00
2022/2023;Gemeente;Den Helder;Totaal;Recht;17.00
2022/2023;Gemeente;Den Helder;Totaal;Sectoroverstijgend;1.00
2022/2023;Gemeente;Den Helder;Totaal;Taal en cultuur;21.00
2022/2023;Gemeente;Den Helder;Totaal;Techniek;226.00
2022/2023;Gemeente;Den Helder;Totaal;Totaal energietransitie;267.00
2022/2023;Gemeente;Den Helder;HBO;Totaal;925.00
2022/2023;Gemeente;Den Helder;HBO;Economie;280.00
2022/2023;Gemeente;Den Helder;HBO;Gedrag en maatschappij;127.00
2022/2023;Gemeente;Den Helder;HBO;Gezondheidszorg;112.00
2022/2023;Gemeente;Den Helder;HBO;Landbouw en natuurlijke omgeving;11.00
2022/2023;Gemeente;Den Helder;HBO;Onderwijs;169.00
2022/2023;Gemeente;Den Helder;HBO;Taal en cultuur;7.00
2022/2023;Gemeente;Den Helder;HBO;Techniek;219.00
2022/2023;Gemeente;Den Helder;HBO;Totaal energietransitie;219.00
2022/2023;Gemeente;Den Helder;WO;Totaal;170.00
2022/2023;Gemeente;Den Helder;WO;Economie;24.00
2022/2023;Gemeente;Den Helder;WO;Gedrag en maatschappij;39.00
2022/2023;Gemeente;Den Helder;WO;Gezondheidszorg;22.00
2022/2023;Gemeente;Den Helder;WO;Landbouw en natuurlijke omgeving;3.00
2022/2023;Gemeente;Den Helder;WO;Natuur;41.00
2022/2023;Gemeente;Den Helder;WO;Onderwijs;2.00
2022/2023;Gemeente;Den Helder;WO;Recht;17.00
2022/2023;Gemeente;Den Helder;WO;Sectoroverstijgend;1.00
2022/2023;Gemeente;Den Helder;WO;Taal en cultuur;14.00
2022/2023;Gemeente;Den Helder;WO;Techniek;7.00
2022/2023;Gemeente;Den Helder;WO;Totaal energietransitie;48.00
2022/2023;Gemeente;Dijk en Waard;Totaal;Totaal;2808.00
2022/2023;Gemeente;Dijk en Waard;Totaal;Economie;846.00
